time,open,high,low,close,At the Money Balance,In the Money Balance,Average Return/src,Average Return,Bars Ago,Dividend,Number of trades,Net PnL Close to Open,total_div_percentage,Exit Trade,Enter Trade,Days passed from last dividend,Net PNL,PNL + Dividend,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Days left to dividend,Number of trades,Net PnL Close to Open,total_div_percentage,Enter Trade,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Basibgs,Upper,Lower,Closed below Band when SMA50&gt;SMA200,Closed below Band when SMA50&lt;SMA200,close[Number_Of_Days_Back]*(1-Drop_Percentage) ,Lost Trade from Purple,Lost Trade from Black,Close Above BB,Fisher,Zero Line,LinReg,Shapes,Shapes,Shapes,Shapes,Histogram,Bearish Divergence,Bullish Divergence,Accumulated Volume,Accumulated Volume At Top,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,%K,%D,"K/ema(K,Ratio_EMA_Length)",%D,%K,Shapes,Shapes,Plot,Bearish D win,Shapes,Shapes,Shapes,Shapes,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Close-Open,Plot,TSI Bar,TSI Line,TSI MA,Upper,Lower,New Hight,New Low,RSI(TSI),RSI(TSI)MA,Shapes,Shapes
2002-07-26T09:30:00-04:00,82.67,82.8,82.42,82.50999,84.16339,83.4967,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,316300,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-07-29T09:30:00-04:00,82.06,82.16,81.32001,81.42,85.19025310099927,84.33166700000001,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,8400,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,891.3662365207864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-07-30T09:30:00-04:00,81.75,81.89999,81.52,81.52,86.65437916346903,85.17498367000002,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,6100,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,771.3620210828038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-07-31T09:30:00-04:00,81.95,82.8,81.89999,82.53,88.38746674673841,86.02673350670001,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,29400,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.7843487882704,81.20564621172959,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,822.5903539811909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-01T09:30:00-04:00,82.53999,83.02,82.53999,83,90.15521608167317,86.887000841767,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,25000,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.12162508558299,81.11337491441702,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,833.794402581448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-02T09:30:00-04:00,83.16,84.10001,82.88,83.85001,91.95832040330664,87.75587085018468,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,52800,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.98699255792124,81.46301244207876,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,884.4981055780327,NaN,NaN,NaN,NaN,NaN,NaN,0.09600000000000079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-05T09:30:00-04:00,84.03999,84.44,83.85001,84.22,93.79748681137278,88.63342955868653,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,61100,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.40394102528036,82.39606397471964,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,913.3084795247264,NaN,NaN,NaN,NaN,NaN,NaN,0.22399400000000186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-06T09:30:00-04:00,83.87,83.89999,83.22,83.5,95.25964055236703,89.51976385427339,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,64900,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.3173687992856,82.96763620071441,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,921.4779816818226,NaN,NaN,NaN,NaN,NaN,NaN,0.08799400000000332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-07T09:30:00-04:00,83.60001,84.14,83.36,83.7,97.16483336341437,90.41496149281613,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,40300,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.21271453570398,83.42229046429603,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,899.0452188745,867.1803499781638,NaN,NaN,NaN,NaN,NaN,0.02199600000000146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-08T09:30:00-04:00,83.58,83.77,83.36,83.7,99.10813003068266,91.31911110774429,NaN,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,40900,NaN,-1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.18024992192213,83.37975007807788,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,891.7376918697657,872.6375370651865,NaN,NaN,NaN,NaN,0.07300100000000498,-0.004001999999999839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
