,original,predict,direction,diff
0,1.9804,1.8476905,1.0,0.13270953693389886
1,1.6263,1.5526568,1.0,0.07364323024749764
2,1.8624,1.4508784,1.0,0.4115216182708741
3,1.4236,1.6333958,1.0,-0.209795791053772
4,0.5726,1.4681419,1.0,-0.8955419134140015
5,-1.9053,0.6430964,-1.0,-2.548396387386322
6,-3.883,-1.6114942,1.0,-2.2715058164596558
7,-3.2856,-3.0025775,1.0,-0.2830224567413331
8,-4.8271,-2.613953,1.0,-2.2131468864440915
9,-3.6432,-3.2217517,1.0,-0.42144831008911154
10,-1.7301,-2.6658692,1.0,0.9357692359924317
11,-2.3749,-1.4169217,1.0,-0.9579782651901243
12,-1.0616,-1.9142153,1.0,0.852615326309204
13,-1.8372,-0.9494843,1.0,-0.8877157113075256
14,-2.06,-1.4117259,1.0,-0.6482741212844849
15,-3.5393,-1.7638263,1.0,-1.7754737489700316
16,-2.0059,-2.5632515,1.0,0.5573514953613281
17,-2.6184,-1.7619153,1.0,-0.8564846738815306
18,-3.6384,-2.2040422,1.0,-1.4343578037261961
19,-2.0046,-2.8287401,1.0,0.8241401199340821
20,-3.016,-1.738345,1.0,-1.2776549730300903
21,-2.0825,-2.4801466,1.0,0.39764664649963377
22,-2.3071,-1.758232,1.0,-0.548868002510071
23,-2.0363,-1.7970634,1.0,-0.23923664932251
24,-2.1937,-1.7493933,1.0,-0.44430665607452413
25,-2.1326,-1.878074,1.0,-0.25452595005035406
26,-1.3781,-1.7654167,1.0,0.3873167413711547
27,-1.1849,-1.3272845,1.0,0.14238445529937738
28,-0.7203,-0.9920277,1.0,0.2717276999473571
29,-0.8801,-0.5866577,1.0,-0.29344229707717895
30,-0.5887,-0.64689344,1.0,0.058193441677093505
31,-0.6505,-0.45979112,1.0,-0.19070887613296506
32,-0.9556,-0.44922882,1.0,-0.506371176815033
33,-0.7188,-0.8418346,1.0,0.12303460474014283
34,-0.7944,-0.704385,1.0,-0.09001501741409301
35,-0.136,-0.8060604,1.0,0.6700603737831116
36,-0.0696,0.0034783967,-1.0,-0.07307839668393135
37,0.349,-0.011596397,-1.0,0.3605963965654373
38,0.5651,0.39567146,1.0,0.1694285429477692
39,0.4981,0.71350414,1.0,-0.2154041356086731
40,0.9513,0.6589482,1.0,0.29235181694030765
41,0.7295,1.095567,1.0,-0.36606698799133297
42,0.9374,0.732619,1.0,0.2047810124397278
43,1.4685,1.2316738,1.0,0.23682616329193107
44,1.256,1.6284167,1.0,-0.37241665744781494
45,0.7371,1.2687483,1.0,-0.5316482833862305
46,1.1537,0.8833769,1.0,0.2703231036186218
47,1.1319,1.1236264,1.0,0.008273648643493559
48,1.2812,0.91254663,1.0,0.36865336532592763
49,1.4554,1.1265247,1.0,0.32887531318664553
50,1.2799,1.28929,1.0,-0.009389951324462853
51,1.6023,1.1266094,1.0,0.47569055538177496
52,1.3394,1.4969286,1.0,-0.1575285726547242
53,0.8329,1.3013831,1.0,-0.4684831377029419
