,original,predict,last_x,direction,diff
1089,185.13,458.45288,184.5,True,0.0
1090,184.48,452.23434,184.75,False,-1.447817832110538
1091,185.47,451.14468,185.77,False,-1.42851205166545
1092,185.03,444.5809,185.86,False,-1.3920203491854586
1093,185.83,433.8845,185.81,True,0.0
1094,185.86,435.88635,186.51,False,-1.3370669269157822
1095,186.5,447.08594,187.75,False,-1.3812832889480693
1096,187.15,438.67017,187.48,False,-1.3398237999553286
1097,187.39,410.3921,186.54,True,0.0
1098,187.92,461.1574,188.37,False,-1.4481467838189135
1099,190.31,510.37683,190.44,False,-1.6799875606736374
1100,189.71,532.8838,191.15,False,-1.7877781274522626
1101,190.48,473.8874,190.2,True,0.0
1102,190.65,462.09314,190.62,True,0.0
1103,191.02,418.44513,189.48,True,0.0
1104,189.54,444.31973,190.76,False,-1.3292080764626528
1105,188.93,344.50763,188.88,True,0.0
1106,188.11,352.10687,189.69,False,-0.8562226398787166
1107,191.11,254.9793,187.1,True,0.0
1108,189.94,283.5371,187.86,True,0.0
1109,186.24,179.35284,185.68,False,-0.03407559113377185
1110,185.77,48.32965,183.76,False,-0.7369958049689472
1111,184.77,34.291428,184.06,False,-0.8136942974448295
1112,185.0,-196.74234,180.3,False,-2.091194343249532
1113,178.58,-291.03406,179.51,True,0.0
1114,180.54,-336.0786,179.39,False,-2.8734523288993254
1115,183.09,-106.64647,183.11,True,0.0
1116,184.93,-79.055786,183.1,False,-1.4317628953184738
1117,183.04,-153.28346,180.51,False,-1.8491688134973912
1118,179.95,-151.59386,181.5,True,0.0
1119,181.83,-191.83063,180.81,False,-2.060951426588166
1120,181.02,-208.37129,179.0,False,-2.1640854308059096
1121,178.25,-175.68834,179.3,True,0.0
1122,178.16,-167.42575,178.67,True,0.0
1123,177.49,-197.08891,176.45,False,-2.11696748633532
1124,176.03,-165.35982,176.54,True,0.0
1125,176.77,-213.18651,174.71,False,-2.220230714777122
1126,173.95,-199.82214,173.52,False,-2.151579896004423
1127,170.12,-215.79724,171.98,True,0.0
1128,174.91,-93.38435,176.6,True,0.0
1129,176.21,-39.53601,176.52,True,0.0
1130,177.61,7.9104614,178.5,True,0.0
1131,181.04,136.52554,182.23,True,0.0
1132,183.15,247.62343,185.07,False,-0.3379987482829555
1133,183.4,196.45859,182.88,True,0.0
1134,182.34,222.85258,183.12,False,-0.21697567081076444
1135,183.42,211.11066,182.44,True,0.0
1136,182.64,271.54938,183.01,False,-0.4837952977509768
1137,183.74,357.64264,185.88,False,-0.9240512113199713
1138,186.41,438.97055,186.73,False,-1.3508303461527842
1139,187.11,523.45886,189.72,False,-1.7591127045366197
1140,188.85,482.9013,188.57,True,0.0
1141,188.57,492.48102,188.52,True,0.0
1142,188.16,444.56207,188.06,True,0.0
1143,184.93,386.41644,186.13,False,-1.076056749965582
1144,185.79,336.24753,186.47,False,-0.803225870521649
1145,186.5,355.00226,186.95,False,-0.8989155298249868
1146,186.74,442.99213,190.3,False,-1.3278619362314437
1147,189.26,397.5678,189.19,True,0.0
1148,190.01,441.6731,190.45,False,-1.319102629052901
1149,191.44,411.78687,190.15,True,0.0
1150,191.05,390.50714,189.86,True,0.0
1151,189.71,347.76782,188.79,True,0.0
1152,190.66,396.14713,191.79,False,-1.065525445769543
1153,192.56,396.81976,192.88,False,-1.0573401243446379
1154,192.42,402.4035,192.63,False,-1.0889970587030513
1155,193.53,426.9255,193.97,False,-1.2009873000556626
1156,194.15,417.24283,193.86,True,0.0
1157,193.15,407.29578,193.2,False,-1.1081561923767471
1158,192.2,347.66162,191.3,True,0.0
1159,192.42,409.5979,193.82,False,-1.113290168148927
1160,191.01,327.12286,191.5,False,-0.7082133878304504
1161,192.53,391.92383,193.58,False,-1.0246090924940592
1162,193.79,378.3733,193.07,True,0.0
1163,195.15,422.22467,194.48,True,0.0
1164,193.3,411.23093,194.52,False,-1.114080436529261
