,original,predict,direction,diff
0,-0.001993241084702335,-0.0028404966,1.0,0.0008472555149718897
1,-0.01120311951773223,-0.008760246,1.0,-0.002442873069513407
2,-0.006779597929368886,-0.016135111,1.0,0.009355513521780101
3,-0.019855874180864874,-0.022085514,1.0,0.0022296397387270295
4,-0.018655779672131168,-0.025644626,1.0,0.006988846796288861
5,-0.021010511445389124,-0.024115488,1.0,0.0031049764877697505
6,-0.01821316196721301,-0.01938849,1.0,0.001175327457969333
7,-0.01526321052631574,-0.01211168,1.0,-0.003151530875472597
8,-0.011711208373830995,-0.0043246653,1.0,-0.007386543080733499
9,-0.012153278731836137,0.0025972058,-1.0,-0.014750484538359698
10,-0.0113387807036065,0.0059907422,-1.0,-0.017329522943707598
11,-0.01644741052631582,0.008443428,-1.0,-0.024890838729779374
12,-0.006216797872340418,0.009254432,-1.0,-0.015471230155682303
13,-0.0033343811493837805,0.006780865,-1.0,-0.010115246285917756
14,-0.006499372340425524,0.0023553185,-1.0,-0.008854690856918368
15,-0.008784388844571334,-0.0018493356,1.0,-0.006935053226254206
16,-0.022335120743600778,-0.0037824372,1.0,-0.018552683560637884
17,-0.010618066931798231,-0.003251722,1.0,-0.007366344849302542
18,-0.013711851261620112,0.0033570384,-1.0,-0.017068889629159756
19,0.003333414912586541,0.011451784,1.0,-0.008118368677432208
20,0.0018613389494512855,0.016500592,1.0,-0.014639253282299203
21,0.002561031207598541,0.02041062,1.0,-0.017849588468514588
22,0.004475806671204952,0.023527209,1.0,-0.01905140204447231
23,-0.001405269370025719,0.022238059,-1.0,-0.02364332833940419
24,-0.001626491535234531,0.018709376,-1.0,-0.020335867989587864
25,-0.010978507061196963,0.017705135,-1.0,-0.028683642108632723
26,-0.00816146083530489,0.019262485,-1.0,-0.027423946041432057
27,-0.00847707706012335,0.020119034,-1.0,-0.028596110813995268
28,-0.007276146540027062,0.023657281,-1.0,-0.03093342749176542
29,0.006301619834710781,0.028350096,1.0,-0.022048476361225422
30,0.004922624982871104,0.029799726,1.0,-0.02487710087748618
31,0.006992364640884041,0.026388548,1.0,-0.01939618367368734
32,0.0016329352088482185,0.023855813,1.0,-0.02222287763876607
33,-0.00964289523809514,0.019822717,-1.0,-0.0294656119510468
34,-0.024597898123324358,0.011450022,-1.0,-0.03604792058235451
35,-0.024665370816599697,0.0030696718,-1.0,-0.027735042618822425
36,-0.027101448965977326,-0.0045891562,1.0,-0.022512292718301907
37,-0.030670818271226086,-0.011817551,1.0,-0.018853267053252853
38,-0.028053183686195804,-0.016462728,1.0,-0.011590455305038883
39,-0.02533360373582383,-0.017804466,1.0,-0.00752913754786988
40,-0.029316122177954762,-0.01540707,1.0,-0.013909052591737359
41,-0.02237638502673789,-0.011738482,1.0,-0.01063790309534951
42,-0.018204746308724817,-0.008280055,1.0,-0.009924691642622885
43,-0.009475401364510527,-0.006140209,1.0,-0.003335192561393252
44,-0.010091315753887775,-0.0069939336,1.0,-0.003097382173071983
45,-0.012967265796404503,-0.011085697,1.0,-0.0018815683466607558
46,-0.017609579389040952,-0.016111169,1.0,-0.0014984103786401803
47,-0.03675414032786872,-0.019523319,1.0,-0.01723082147091415
48,-0.03239547034108259,-0.0217986,1.0,-0.010596870829697624
49,-0.020732051458987044,-0.02059656,1.0,-0.00013549136820678598
50,-0.014106473895582283,-0.01730112,1.0,0.0031946459684046857
51,-0.018159169107856088,-0.011679943,1.0,-0.00647922638821774
52,-0.0038616611250358313,-0.007267344,1.0,0.003405682686654976
53,-0.005615386684599821,-0.0048178853,1.0,-0.0007975013378891394
54,-0.012128738031763842,-0.0035673063,1.0,-0.00856143170692425
55,-0.013357814790139866,-0.0034011025,1.0,-0.009956712291966152
56,-0.005685952975345465,-0.004206823,1.0,-0.0014791297902592149
57,-0.001262674747474768,-0.005180306,1.0,0.003917631053857229
58,-0.009990041360907087,-0.004633913,1.0,-0.005356128544263372
59,-0.0057731405622489795,-0.0029490078,1.0,-0.0028241327754385814
60,-0.008022062708472277,-0.00042112917,1.0,-0.007600933541392352
61,8.390060443241865e-05,0.002204948,1.0,-0.0021210475004855844
62,0.0028412427706792087,0.006302528,1.0,-0.0034612853126452237
63,0.014232282608695579,0.009830039,1.0,0.004402243614144874
64,0.038281188888888984,0.012065495,1.0,0.026215693524521022
65,0.03473751381215462,0.013390657,1.0,0.02134685725149521
66,0.03211334158075618,0.015050709,1.0,0.01706263233316707
67,0.02988373368552688,0.01618487,1.0,0.013698863531861338
68,0.0325632525667352,0.016998112,1.0,0.015565140365044527
69,0.03629191501028095,0.017036654,1.0,0.01925526095516239
70,0.04849433835866668,0.019811913,1.0,0.028682424987580557
71,0.04027771742112485,0.024063852,1.0,0.016213865736792954
72,0.04075031073658786,0.028691381,1.0,0.012058929520538664
73,0.04192062903615268,0.033022188,1.0,0.008898441385948974
74,0.05158614068965517,0.03647776,1.0,0.01510838120917879
75,0.06396232869080798,0.03763279,1.0,0.026329539228003185
76,0.061845351297437734,0.03718217,1.0,0.02466318039971549
77,0.05715016953824947,0.03524785,1.0,0.021902318375100593
78,0.05535534833975664,0.03217637,1.0,0.023178976675947816
79,0.05221987978142062,0.02996286,1.0,0.02225701973360339
80,0.05062994354837658,0.02862772,1.0,0.0220022238182378
81,0.05616454644808755,0.027868629,1.0,0.02829591794619546
82,0.05648014188267392,0.02726144,1.0,0.029218702171818434
83,0.06158060749428462,0.026571095,1.0,0.03500951250450801
84,0.05198029519295866,0.026253894,1.0,0.025726401221515482
85,0.05604418673485223,0.028345492,1.0,0.027698694997724926
86,0.05518989416553599,0.03257271,1.0,0.022617185141583507
87,0.04978064237516877,0.036888253,1.0,0.012892389431414575
88,0.0553917130299586,0.04088415,1.0,0.014507564700462217
89,0.055726927086620526,0.045974445,1.0,0.009752482488661007
90,0.06934150891632385,0.04971275,1.0,0.019628757855599588
91,0.06554601501706481,0.05251326,1.0,0.013032754622730014
92,0.06161678260869574,0.054713618,1.0,0.006903164598413225
93,0.06278866304347819,0.056596365,1.0,0.006192298217514214
94,0.06270789958144829,0.058198933,1.0,0.004508967023150179
95,0.06283045966101697,0.05751287,1.0,0.0053175914652447975
96,0.06283447209855453,0.055928223,1.0,0.006906249263490594
97,0.06285962643488352,0.054679256,1.0,0.008180370502314016
98,0.06319345060893089,0.052748486,1.0,0.010444964209280316
99,0.05205622756870376,0.050040323,1.0,0.0020159042814551498
100,0.047690320791260454,0.048214626,1.0,-0.0005243047759373454
101,0.04883715614617934,0.048472084,1.0,0.00036507204116453806
102,0.05169610659885415,0.048167348,1.0,0.003528758690834133
103,0.05933106086956519,0.04823706,1.0,0.011094001604190051
104,0.06466941815851435,0.048295464,1.0,0.016373953791839924
105,0.06298522088353398,0.04931118,1.0,0.013674041215822719
106,0.06383684491978614,0.048496705,1.0,0.015340140371188804
107,0.06313327999999996,0.04779819,1.0,0.015335089734106022
108,0.0644189798914665,0.046130475,1.0,0.018288505234646202
109,0.06170819096073665,0.04479761,1.0,0.016910580469222447
110,0.06798795469686869,0.04283652,1.0,0.025151433876012597
111,0.06484733112143348,0.042054337,1.0,0.022792994603384242
112,0.06659482154342622,0.04077618,1.0,0.025818643302650157
113,0.06162988443469586,0.039968688,1.0,0.021661196393724103
114,0.048048093689004645,0.037928596,1.0,0.010119497550050482
115,0.04471984396188877,0.03564294,1.0,0.009076903410846215
116,0.04453256494675539,0.03522151,1.0,0.009311055311306937
117,0.04572958868763122,0.033506785,1.0,0.012222804099532691
118,0.04715307637948385,0.030794997,1.0,0.01635807961124769
119,0.04710828532298916,0.030337904,1.0,0.01677038167437428
120,0.047722811369508955,0.031219453,1.0,0.016503358749956343
121,0.04737091096774204,0.03293392,1.0,0.014436990345870093
122,0.04279760721695047,0.034754366,1.0,0.008043241534348544
123,0.045454591244930675,0.03716277,1.0,0.008291821659082821
124,0.05088685723437436,0.037631527,1.0,0.013255330644980745
125,0.0525967174193549,0.037476216,1.0,0.015120501907794459
126,0.0466058786147554,0.03703956,1.0,0.009566319280238877
127,0.04665915089514061,0.036341157,1.0,0.010317994084618531
128,0.04545593877551024,0.03612088,1.0,0.009335058380336214
