,original,predict,direction,diff
0,0.019397427217332508,0.00893112,1.0,0.010466307291058685
1,0.01260080645161299,0.007966142,1.0,0.0046346643038335245
2,0.016004043126684575,0.0069071422,1.0,0.009096900893581061
3,0.011435278336686672,0.0076543745,1.0,0.0037809038713403353
4,0.01221476510067121,0.008873416,1.0,0.0033413489897979876
5,0.0077822311289246215,0.011857789,1.0,-0.0040755578808848725
6,0.014170584284754817,0.014157046,1.0,1.3538652154032604e-05
7,0.018282828282828234,0.015956521,1.0,0.0023263072485875114
8,0.022233468286099844,0.014980478,1.0,0.007252990073862486
9,0.029904955872369188,0.01311384,1.0,0.016791116320562738
10,0.025995948683322112,0.010738462,1.0,0.015257486473620574
11,0.02326832548755875,0.008945262,1.0,0.014323063427989391
12,0.022513440860215006,0.008838767,1.0,0.013674673674407778
13,0.026214574898785425,0.011938127,1.0,0.014276448141044451
14,0.02521915037086986,0.015107424,1.0,0.010111726372454388
15,0.023905723905723875,0.017868977,1.0,0.006036746865671461
16,0.02092008059100081,0.018914992,1.0,0.0020050886012690228
17,0.01655518394648836,0.019694157,1.0,-0.0031389729982633785
18,0.012966666666666793,0.019138938,1.0,-0.006172271149357034
19,0.013642428285523645,0.018541373,1.0,-0.004898945026949653
20,0.013742494996664467,0.018125754,1.0,-0.00438325885308033
21,0.0168005354752343,0.019203342,1.0,-0.0024028070221144837
22,0.018309859154929553,0.019849163,1.0,-0.0015393033938508882
23,0.012366666666666637,0.019829068,1.0,-0.007462401666243901
24,0.01987911349899263,0.018581314,1.0,0.0012977994865843723
25,0.020477471418964388,0.018853176,1.0,0.0016242950338001272
26,0.01605227882037541,0.01883907,1.0,-0.002786791753073725
27,0.016275167785234856,0.01970834,1.0,-0.0034331713396831276
28,0.013203753351206382,0.022077864,1.0,-0.00887411068475763
29,0.015232010759919312,0.02462972,1.0,-0.009397708795458648
30,0.0066132264529059626,0.027514722,1.0,-0.020901495745341947
31,0.005815508021390414,0.028837781,1.0,-0.023022273378098035
32,0.00043218085106389026,0.026827645,1.0,-0.026395463705696898
33,-0.0020238885202388257,0.022897225,-1.0,-0.024921113393543193
34,-0.0009634551495016908,0.019611826,-1.0,-0.020575281316012273
35,0.002168112074716566,0.016231228,1.0,-0.014063115591423037
36,0.007377598926894713,0.012035707,1.0,-0.004658108084924173
37,0.00981842636180219,0.010147607,1.0,-0.000329180592176348
38,0.0053918285331546745,0.009416399,1.0,-0.004024570059138588
39,0.0031417112299465533,0.007820971,1.0,-0.004679260080192149
40,0.002941176470588225,0.004507811,1.0,-0.0015666343381299797
41,-0.0032558139534883956,0.0030185727,-1.0,-0.006274386647179053
42,-0.01506894287590288,0.0010993094,-1.0,-0.016168252294253338
43,-0.013519736842105279,1.8685125e-05,-1.0,-0.01353842196691979
44,-0.010561056105610533,-0.0025401134,1.0,-0.008020942701217337
45,-0.008173395102580971,-0.0048242025,1.0,-0.0033491925948466728
46,-0.013019116677653209,-0.0063654827,1.0,-0.006653633982252494
47,-0.01387607119314438,-0.0078075863,1.0,-0.0060684848510480505
48,-0.01678736010533244,-0.010763489,1.0,-0.006023871395405833
49,-0.01653465346534655,-0.012239184,1.0,-0.0042954692347805246
50,-0.021198156682027625,-0.013668066,1.0,-0.007530090791357802
51,-0.0221965699208444,-0.014359269,1.0,-0.00783730062968191
52,-0.020562913907284708,-0.0150504075,1.0,-0.005512506408209772
53,-0.022615894039735185,-0.015820969,1.0,-0.006794925143584596
54,-0.027245706737120234,-0.016966887,1.0,-0.010278819918711268
55,-0.038154450261780104,-0.017902497,1.0,-0.02025195305962213
56,-0.04272193211488251,-0.019341048,1.0,-0.02338088426165108
57,-0.05171743357096559,-0.020658031,1.0,-0.03105940246497041
58,-0.04916951140065151,-0.019182734,1.0,-0.029986777209233817
59,-0.05807456310679615,-0.015793508,1.0,-0.042281055188080674
60,-0.05655084525357612,-0.010917338,1.0,-0.045633507642258486
61,-0.03742528809048562,-0.005275801,1.0,-0.032149487266320276
62,-0.044520010596026505,-0.00019768532,1.0,-0.0443223252723709
63,-0.04796506684315027,0.0020906376,-1.0,-0.05005570441525997
64,-0.05387291760052737,0.0019687507,-1.0,-0.05584166833068427
65,-0.047307329787234065,-0.001618796,1.0,-0.04568853375903725
66,-0.051110160371106605,-0.006650648,1.0,-0.04445951229129408
67,-0.05312722170747841,-0.0120659955,1.0,-0.04106122622288788
68,-0.05826217248189591,-0.01912491,1.0,-0.039137262246490945
69,-0.0569830303030302,-0.028680097,1.0,-0.02830293299129505
70,-0.05053031146454601,-0.038142577,1.0,-0.012387734650848192
71,-0.04331683200000003,-0.047173563,1.0,0.003856731390970203
72,-0.052326896369636944,-0.052242346,1.0,-8.455026167719648e-05
73,-0.04942107743216417,-0.055986106,1.0,0.006565028963557262
74,-0.03697199731723666,-0.056110978,1.0,0.01913898080928922
75,-0.04182260080106803,-0.05498828,1.0,0.013165679137629782
76,-0.04200618424566083,-0.050688587,1.0,0.008682402883455231
77,-0.038706616621983714,-0.04826499,1.0,0.009558374870049291
78,-0.0400602945113786,-0.046996042,1.0,0.006935747620999022
79,-0.03756717315436231,-0.04723764,1.0,0.009670465229741465
80,-0.04021090227576973,-0.047817953,1.0,0.007607050655157543
81,-0.0443742210386151,-0.05010461,1.0,0.005730389583314066
82,-0.03930486631016039,-0.0506035,1.0,0.011298635188538797
83,-0.04226552761144364,-0.052903626,1.0,0.010638098502686377
84,-0.033853177733064954,-0.052466426,1.0,0.018613248311637576
85,-0.03834228685790542,-0.051262375,1.0,0.012920088109431238
