,original,predict,last_x,direction,diff
109,210.18,210.74643,210.3,False,-0.002122821889488177
110,208.0,207.35973,206.94,True,0.0
111,206.79,207.33568,207.79,True,0.0
112,209.33,208.39014,209.48,True,0.0
113,210.77000000000004,209.54718,210.16,False,-0.0029159679492707776
114,210.82,210.91905,211.42,True,0.0
115,210.5,210.4963,210.46,True,0.0
116,209.79,209.78954,209.7,True,0.0
117,209.38,210.15862,210.45,True,0.0
118,210.07,209.7375,210.29,True,0.0
119,208.35,208.40051,208.16,True,0.0
120,207.95,208.78406,209.28,True,0.0
121,210.57,208.29234,208.97,False,-0.003242842802084325
122,208.67,207.65198,207.11,True,0.0
123,208.92,208.5403,208.73,False,-0.0009088369572458548
124,208.65999999999997,208.32628,208.42999999999998,False,-0.0004976314037160721
125,209.42,208.62573,208.71,False,-0.0004037543870682188
126,210.59,209.88791,210.26,False,-0.0017696711902079137
127,209.98,209.5791,209.09,True,0.0
128,208.32,207.3836,206.51000000000002,True,0.0
129,203.97,202.85812,201.73,True,0.0
130,197.63,194.20305,187.49,True,0.0
131,189.55,197.06808,195.43,False,-0.00838195116817719
132,187.27,192.10205,192.08,False,-0.00011479998568298362
133,194.46,194.20454,197.02,True,0.0
134,199.27,196.38039,198.5,False,-0.010678154395269207
135,199.28,198.24335,198.11,True,0.0
136,197.67,195.91417,193.12,True,0.0
137,191.77,196.57373,194.62,False,-0.010038693190576485
138,195.41,195.58653,196.26,True,0.0
139,195.55,193.7294,192.85,True,0.0
140,192.59,195.32677,195.94,True,0.0
141,197.43,197.18166,199.32,True,0.0
142,194.79,194.55014,194.56,False,-5.067649640536222e-05
143,195.85,195.39522,195.375,True,0.0
144,196.74,196.3235,196.95,True,0.0
145,196.01,196.97507,196.61,False,-0.001856808599114294
146,198.46,198.6793,198.82,True,0.0
147,200.18,199.63463,200.02,False,-0.0019266658539224713
148,199.73,197.75357,195.71,True,0.0
149,195.45,197.09065,196.44,False,-0.0033122198422944147
150,196.46,194.89882,193.88,True,0.0
151,193.91,195.30775,194.11,False,-0.006170493620120287
152,193.6,192.81874,192.15,True,0.0
153,192.9,194.68126,194.64,False,-0.00021197675335722947
154,192.85,192.02782,191.78,True,0.0
155,188.01,189.78537,188.27,False,-0.008048918431225712
156,188.12,189.19116,190.37,True,0.0
157,191.63,189.5757,192.08,True,0.0
158,192.13,189.01643,189.77,False,-0.003970945271537639
159,195.0,195.30525,196.46,True,0.0
160,198.46999999999997,197.1878,198.31,False,-0.0056587909042345435
161,197.79000000000002,198.16052,198.90000000000003,True,0.0
162,199.40999999999997,198.77454,198.95,False,-0.0008819495711861706
163,201.21,200.7523,201.37999999999997,True,0.0
164,201.33,201.54352,201.42,False,-0.0006132363539184913
165,201.52,201.03294,200.65,True,0.0
166,200.25,200.50642,200.17999999999998,True,0.0
