,original,predict,last_x,direction,diff,,,,
303,206.3308,206.13905,206.92,TRUE,0.000%,0.19175,0.09%,,
304,207.97,205.69408,206.52,FALSE,-0.400%,2.27592,1.10%,,
305,206.1592,205.21687,204.99,TRUE,0.000%,0.94233,0.46%,,
306,205.01,204.59668,205.56,TRUE,0.000%,0.41332,0.20%,,
307,204.97,203.57788,204.06,FALSE,-0.236%,1.39212,0.68%,,
308,205.72,204.09468,205.57,FALSE,-0.718%,1.62532,0.79%,,
309,205.8892,205.24608,206.72,TRUE,0.000%,0.64312,0.31%,,
310,208.45,206.21712,207.91,FALSE,-0.814%,2.23288,1.07%,,
311,206.5,206.67123,207.29,TRUE,0.000%,-0.17123,-0.08%,,
312,206.56,206.09172,206.21,FALSE,-0.057%,0.46828,0.23%,,
313,204.76,205.26297,204.96,FALSE,-0.148%,-0.50297,-0.25%,,
314,206.78,205.2479,206.46,FALSE,-0.587%,1.5321,0.74%,,
315,204.8508,204.67828,204.44,TRUE,0.000%,0.17252,0.08%,,
316,204.91,203.38513,204.06,FALSE,-0.331%,1.52487,0.75%,,
317,204.2,203.97667,204.92,TRUE,0.000%,0.22333,0.11%,,
318,205.49,203.64986,205.51,TRUE,0.000%,1.84014,0.90%,,
319,205.21,205.19562,206.17,TRUE,0.000%,0.01438,0.01%,,
320,207.87,206.50589,208.67,TRUE,0.000%,1.36411,0.65%,,
321,209.28,207.7638,209.44,TRUE,0.000%,1.5162,0.72%,,
322,209.34,208.60878,209.53,TRUE,0.000%,0.73122,0.35%,,
323,210.24,209.5473,210.56,TRUE,0.000%,0.6927,0.33%,,
324,209.84,209.0154,209.12,FALSE,-0.050%,0.8246,0.39%,,
325,210.27,209.60094,209.8,FALSE,-0.095%,0.66906,0.32%,,
326,210.91,209.48314,210.25,FALSE,-0.365%,1.42686,0.68%,,
327,210.28,209.7471,210.7,TRUE,0.000%,0.5329,0.25%,,
328,211.35,210.16606,211.525,TRUE,0.000%,1.18394,0.56%,,
329,211.68,210.42601,211.84,TRUE,0.000%,1.25399,0.59%,,
330,212.37,210.63116,211.51,FALSE,-0.416%,1.73884,0.82%,,
331,212.08,210.29051,210.46,FALSE,-0.081%,1.78949,0.85%,,
332,210.07,209.25938,209.36,FALSE,-0.048%,0.81062,0.39%,,
333,208.4492,208.47685,208,TRUE,0.000%,-0.02765,-0.01%,,
334,208.04,207.56943,208.54,TRUE,0.000%,0.47057,0.23%,,
335,207.75,206.34566,206.73,FALSE,-0.186%,1.40434,0.68%,,
336,208.37,206.09569,207.17,FALSE,-0.519%,2.27431,1.10%,,
337,206.52,207.30197,208.82,TRUE,0.000%,-0.78197,-0.37%,,
